question,answer1,answer2,answer3,answer4,answer5,answer6,correct_answer
"A customer needs to store approximately 200 raw data items from REST API and display each item as an AEM page. A draft page template exists. Which Method should be used to meet this requirement?","Create Experience fragments by binding the data for each item using the draft page template and custom data retrieval logic","Build a segment using data from REST API call","Create pages by binding the data for each item using the draft page template and custom data retrieval logic","Create Content fragments by binding the data for each item using the draft page template and custom data retrieval logic","","","b"
"An AEM Developer receives requirements for Sling Models in a human-readable yaml format. A custom application needs to be built. The dependency is as shown: <dependency> <groupId> com.fasterxml.jackson.core </groupId> <artifactId> jackson-databind </artifactId> <version> 2.8.4 </version> <scope> provided </scope> </dependency> <dependency> <groupId> com.fasterxml.jackson.dataformat </groupId> <artifactId> jackson-datafirmat-yaml </artifactId> <version> 2.8.4 </version> </dependency>","1. Create OSGI models to export as yaml. 2. Configure mime type in Apache Sling Servlet/ Script Resolver and Error Handler.","1. Create Sling models to export as yaml. 2. Configure mime type in Apache Sling Referrer Filter.","1. Create OSGI models to export as yaml. 2. Configure mime type in Apache Sling MIME Type Service.","1. Create Sling models to export as yaml. 2. Configure mime type in Apache Sling MIME Type Service.","","","b"
"A developer has multiple LDAP Authentication providers. The user is not required to pass the authentication test of the Authentication provider. If authentication succeeds, control is returned to the caller; no subsequent Authentication provider down the list is executed. . If authentication fails, authentication continues down the list of providers. What should be the JAAS Control flag value in Apache Jackrabbit Oak External Login Module configuration?","OPTIONAL","SUFFICENT","REQUIRED","MANDATORY","","","a"
"An AEM Developer needs to remove the pretitle option from within the Core Teaser components dialog. They start by: A. Creating a component with the Core Teaser component as its resourceSuperType B. Adding a _cq_dialog folder under the component","1. create a file named dialog.xml inside that new folder. 2. copy the entire node structure from the Core Teaser component's dialog.xml 3. delete the pretitle node","1. create a file named .content.xml inside that new folder. 2. copy only the node structure that will be modified into .content.xml 3. add sling.hideChildren[pretitle] to the parent node of the pretitle node","1. navigate to the new component's dialog in CRX 2. delete the pretitle child node","1. navigate to /apps/core/wcm/components/teaser/v1/teaser/cq:dialog/content/items/tabs/items/text/items/columns/items/column/items in CRX 2. delete the pretitle child node","","","b"
"An AEM application wants to be up multi-tenancy using Adobe-recommended best practices and bind multiple configurations to it. Which of the following options is recommended?","import org.osgi.service.metatype.annotations.Component: @Component(service = ConfigurationFactory.class)","Import org.apache.felix.scrannotations.Component: @Component(label = My configuration, metatype=true, factory=true)","import org.osgi.service.component.annotations.Component:import org.osgi.service.metatype.annotations.Designate: @Component (service = ConfigurationFactory.class)@Designate (ocd= ConfigurationFactoryImpl.Config.class, factory=true)","import org.osgi.service.metatype.annotations.AttributeDefinition:import org.osgi.service.metatype.annotations.ObjectClassDefinition: @ObjectClassDefinition(name= My configuration)","","","c"
"Which solution should be used to synchronize user permissions across AEM servers?","ACS Commons ACL packager","Maven Vault plugin","Acs Commons Authorizable Packager","User Sync Tool","","","a"
"A developer has built a dropdown containing each of the fifty U.S. States as a static option. The dialog node is called states. A new requirement is asking to use that same dropdown in another components dialog. Which method would be a more modular approach to the solution?","copy paste the entire state node from the old component to the new one.","1. Extrapolate out the states node to a more generic location. 2. Set that new location as the resourceSuperType.","copy and paste only the options from the old component to the new one","1. Extrapolate out the States node to a more generic location. 2. Use granite: include in both components to bring in only what is needed","","","d"
"An AEM Developer is setting up a new AEM Project for a custom SPA that will utilize the SPA Editor. Which command should the developer use?","mvn archetype: generate \ -D archetypeGroupId=com.adobe.granite.archetypes \ -D archetypeArtifactId=aem-project-archetype \ -D archetypeVersion=23 \ -D frontendModule=react","mvn -B archetype: generate \ -D archetypeGroupId=com.adobe.granite.archetypes \ -D archetypeArtifactId=aem-project-archetype \ -D archetypeVersion=23 \ -D frontendModule=angular","mvn archetype: generate \ -D archetypeGroupId=com.adobe.granite.archetypes \ -D archetypeArtifactId=aem-project-archetype \ -D archetypeVersion=23 \ -D frontendModule=general","mvn -B archetype: generate \ -D archetypeGroupId=com.adobe.granite.archetypes \ -D archetypeArtifactId=aem-project-archetype \ -D archetypeVersion=23 \ -D sdkVersione=latest","","","b"
"A project requires sharing information between SPA components. Which is the least complex approach to achieve that objective?","Utilize model props to drill down and access or set the state on desired components.","Centralize the logic and broadcast to the necessary components.","Implement a state library in order to share component states.","Customize and extend the container component to leverage the object hierarchy.","","","b"
"An AEM application requires LDAP Service integration to synchronize users/groups. Which two OSGI configuration are required for LDAP integration in AEM?(Choose Two.)","Apache Jackrabbit Oak Default Sync Handler","Apache Jackrabbit Oak Solr server provider","Apache Jackrabbit Oak CUG Configuration","Apache Jackrabbit Oak AuthorizableActionProvider","Apache Jackrabbit Oak External Login Module","","e"
"Which configuration/section should be used to resolve the domain name by dispatcher?","Configuration in httpd.conf","Configuration in vhosts file","Configuration in DNS","Configuration in filter.any","","","b"
